timestamp, power.draw [W], power.limit [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/30 12:50:49.187, 39.72 W, [N/A], 1552 MHz, 9001 MHz, 56, 49 %, 35 %, 5964 MiB, 8151 MiB
2026/08/30 12:50:49.689, 39.02 W, [N/A], 2385 MHz, 9001 MHz, 55, 78 %, 30 %, 6020 MiB, 8151 MiB
2026/08/30 12:50:50.190, 39.54 W, [N/A], 1470 MHz, 9001 MHz, 57, 69 %, 31 %, 6014 MiB, 8151 MiB
2026/08/30 12:50:50.692, 35.92 W, [N/A], 1582 MHz, 9001 MHz, 56, 26 %, 24 %, 6032 MiB, 8151 MiB
2026/08/30 12:50:51.194, 26.71 W, [N/A], 997 MHz, 9001 MHz, 54, 22 %, 12 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:51.696, 15.09 W, [N/A], 1027 MHz, 9001 MHz, 53, 0 %, 2 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:52.200, 10.86 W, [N/A], 382 MHz, 9001 MHz, 53, 0 %, 2 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:52.702, 9.73 W, [N/A], 412 MHz, 9001 MHz, 53, 0 %, 2 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:53.205, 9.66 W, [N/A], 217 MHz, 9001 MHz, 53, 0 %, 2 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:53.708, 9.56 W, [N/A], 217 MHz, 9001 MHz, 53, 0 %, 2 %, 6562 MiB, 8151 MiB
2026/08/30 12:50:54.211, 9.88 W, [N/A], 255 MHz, 9001 MHz, 53, 1 %, 2 %, 6566 MiB, 8151 MiB
2026/08/30 12:50:54.713, 9.70 W, [N/A], 285 MHz, 9001 MHz, 53, 1 %, 1 %, 6565 MiB, 8151 MiB
2026/08/30 12:50:55.215, 11.65 W, [N/A], 435 MHz, 9001 MHz, 53, 0 %, 1 %, 6564 MiB, 8151 MiB
2026/08/30 12:50:55.718, 10.14 W, [N/A], 1267 MHz, 9001 MHz, 53, 0 %, 2 %, 6563 MiB, 8151 MiB
2026/08/30 12:50:56.220, 31.72 W, [N/A], 615 MHz, 9001 MHz, 56, 99 %, 90 %, 6563 MiB, 8151 MiB
2026/08/30 12:50:56.722, 39.08 W, [N/A], 1845 MHz, 9001 MHz, 56, 100 %, 57 %, 6566 MiB, 8151 MiB
2026/08/30 12:50:57.224, 40.30 W, [N/A], 577 MHz, 9001 MHz, 56, 100 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:50:57.726, 39.82 W, [N/A], 2002 MHz, 9001 MHz, 56, 97 %, 68 %, 6557 MiB, 8151 MiB
2026/08/30 12:50:58.228, 39.99 W, [N/A], 735 MHz, 9001 MHz, 56, 99 %, 88 %, 6557 MiB, 8151 MiB
2026/08/30 12:50:58.731, 34.71 W, [N/A], 1815 MHz, 9001 MHz, 56, 100 %, 80 %, 6557 MiB, 8151 MiB
2026/08/30 12:50:59.233, 51.16 W, [N/A], 915 MHz, 9001 MHz, 56, 99 %, 89 %, 6557 MiB, 8151 MiB
2026/08/30 12:50:59.737, 40.86 W, [N/A], 1972 MHz, 9001 MHz, 57, 99 %, 88 %, 6557 MiB, 8151 MiB
2026/08/30 12:51:00.240, 52.32 W, [N/A], 1545 MHz, 9001 MHz, 56, 99 %, 89 %, 6556 MiB, 8151 MiB
2026/08/30 12:51:00.745, 44.36 W, [N/A], 2025 MHz, 9001 MHz, 57, 100 %, 89 %, 6556 MiB, 8151 MiB
2026/08/30 12:51:01.247, 52.69 W, [N/A], 1732 MHz, 9001 MHz, 57, 99 %, 90 %, 6554 MiB, 8151 MiB
2026/08/30 12:51:01.749, 46.09 W, [N/A], 2062 MHz, 9001 MHz, 58, 99 %, 89 %, 6551 MiB, 8151 MiB
2026/08/30 12:51:02.252, 53.83 W, [N/A], 1785 MHz, 9001 MHz, 57, 99 %, 89 %, 6545 MiB, 8151 MiB
2026/08/30 12:51:02.754, 49.49 W, [N/A], 2040 MHz, 9001 MHz, 58, 97 %, 88 %, 6545 MiB, 8151 MiB
2026/08/30 12:51:03.257, 51.97 W, [N/A], 1897 MHz, 9001 MHz, 57, 100 %, 90 %, 6545 MiB, 8151 MiB
2026/08/30 12:51:03.758, 52.26 W, [N/A], 2047 MHz, 9001 MHz, 58, 100 %, 90 %, 6545 MiB, 8151 MiB
2026/08/30 12:51:04.261, 52.29 W, [N/A], 1935 MHz, 9001 MHz, 58, 99 %, 86 %, 6542 MiB, 8151 MiB
2026/08/30 12:51:04.763, 50.22 W, [N/A], 2077 MHz, 9001 MHz, 59, 99 %, 87 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:05.265, 51.29 W, [N/A], 2032 MHz, 9001 MHz, 58, 99 %, 89 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:05.767, 52.08 W, [N/A], 1965 MHz, 9001 MHz, 59, 99 %, 90 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:06.270, 52.62 W, [N/A], 2025 MHz, 9001 MHz, 58, 99 %, 90 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:06.773, 54.10 W, [N/A], 2055 MHz, 9001 MHz, 59, 99 %, 90 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:07.275, 53.77 W, [N/A], 2115 MHz, 9001 MHz, 58, 99 %, 88 %, 6565 MiB, 8151 MiB
2026/08/30 12:51:07.777, 53.85 W, [N/A], 2100 MHz, 9001 MHz, 59, 97 %, 87 %, 6565 MiB, 8151 MiB
2026/08/30 12:51:08.279, 51.99 W, [N/A], 2137 MHz, 9001 MHz, 58, 99 %, 79 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:08.781, 53.57 W, [N/A], 2152 MHz, 9001 MHz, 59, 99 %, 90 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:09.283, 50.97 W, [N/A], 2130 MHz, 9001 MHz, 59, 96 %, 87 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:09.786, 55.19 W, [N/A], 1995 MHz, 9001 MHz, 59, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:10.288, 50.74 W, [N/A], 2407 MHz, 9001 MHz, 58, 99 %, 87 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:10.791, 52.37 W, [N/A], 2310 MHz, 9001 MHz, 58, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:11.294, 52.50 W, [N/A], 2332 MHz, 9001 MHz, 58, 99 %, 83 %, 6547 MiB, 8151 MiB
2026/08/30 12:51:11.798, 54.13 W, [N/A], 2347 MHz, 9001 MHz, 59, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:12.300, 53.07 W, [N/A], 2385 MHz, 9001 MHz, 59, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:12.803, 54.92 W, [N/A], 2340 MHz, 9001 MHz, 59, 96 %, 88 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:13.305, 55.10 W, [N/A], 2370 MHz, 9001 MHz, 59, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:13.808, 55.91 W, [N/A], 2370 MHz, 9001 MHz, 59, 99 %, 91 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:14.310, 54.52 W, [N/A], 2422 MHz, 9001 MHz, 59, 96 %, 87 %, 6559 MiB, 8151 MiB
2026/08/30 12:51:14.813, 55.65 W, [N/A], 2355 MHz, 9001 MHz, 59, 99 %, 89 %, 6563 MiB, 8151 MiB
2026/08/30 12:51:15.316, 54.85 W, [N/A], 2437 MHz, 9001 MHz, 59, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:15.819, 54.58 W, [N/A], 2370 MHz, 9001 MHz, 59, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:16.321, 54.78 W, [N/A], 2400 MHz, 9001 MHz, 59, 99 %, 91 %, 6562 MiB, 8151 MiB
2026/08/30 12:51:16.824, 55.05 W, [N/A], 2430 MHz, 9001 MHz, 60, 99 %, 91 %, 6562 MiB, 8151 MiB
2026/08/30 12:51:17.327, 55.11 W, [N/A], 2392 MHz, 9001 MHz, 60, 99 %, 91 %, 6562 MiB, 8151 MiB
2026/08/30 12:51:17.830, 54.86 W, [N/A], 2407 MHz, 9001 MHz, 60, 95 %, 85 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:18.333, 54.97 W, [N/A], 2385 MHz, 9001 MHz, 60, 99 %, 84 %, 6558 MiB, 8151 MiB
2026/08/30 12:51:18.836, 54.93 W, [N/A], 2430 MHz, 9001 MHz, 60, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:19.338, 55.15 W, [N/A], 2377 MHz, 9001 MHz, 60, 99 %, 81 %, 6562 MiB, 8151 MiB
2026/08/30 12:51:19.841, 55.98 W, [N/A], 2497 MHz, 9001 MHz, 60, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:20.353, 55.80 W, [N/A], 2377 MHz, 9001 MHz, 60, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:20.856, 55.57 W, [N/A], 2422 MHz, 9001 MHz, 60, 99 %, 91 %, 6561 MiB, 8151 MiB
2026/08/30 12:51:21.358, 56.12 W, [N/A], 2400 MHz, 9001 MHz, 60, 99 %, 91 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:21.861, 55.96 W, [N/A], 2437 MHz, 9001 MHz, 60, 99 %, 91 %, 6560 MiB, 8151 MiB
2026/08/30 12:51:22.363, 56.04 W, [N/A], 2422 MHz, 9001 MHz, 60, 99 %, 86 %, 6550 MiB, 8151 MiB
2026/08/30 12:51:22.866, 55.91 W, [N/A], 2520 MHz, 9001 MHz, 60, 99 %, 91 %, 6550 MiB, 8151 MiB
2026/08/30 12:51:23.369, 55.97 W, [N/A], 2355 MHz, 9001 MHz, 60, 99 %, 91 %, 6550 MiB, 8151 MiB
2026/08/30 12:51:23.871, 55.99 W, [N/A], 2422 MHz, 9001 MHz, 60, 99 %, 91 %, 6550 MiB, 8151 MiB
2026/08/30 12:51:24.374, 55.62 W, [N/A], 2377 MHz, 9001 MHz, 60, 96 %, 88 %, 6546 MiB, 8151 MiB
2026/08/30 12:51:24.877, 55.52 W, [N/A], 2377 MHz, 9001 MHz, 61, 99 %, 84 %, 6541 MiB, 8151 MiB
